以下哪项不是国产AI医疗大模型？,D,LungDiag模型,岐黄问道大模型,TCMLLM,BioMedLM,BioMedLM是斯坦福基础模型研究中心（CRFM）和MosaicML联合开发的模型，一种经训练可以解释生物医学语言的大型语言模型。
医疗大模型的核心技术基础是什么？,B,区块链技术,深度学习,量子计算,虚拟现实,医疗大模型的核心技术基础是深度学习
以下哪种场景中，医疗大模型可能因“数据偏见”导致误诊？,A,训练数据中非洲裔患者样本占比不足,模型参数量过大,使用了过时的优化算法,硬件计算速度慢,数据偏见指训练数据分布不均衡（如某些种族/性别样本不足），导致模型对特定群体诊断性能下降。
医疗大模型在辅助诊断时，如何确保结果的临床可解释性？,C,完全依赖黑箱模型输出,仅使用统计显著性结果,结合注意力机制可视化关键特征,减少模型训练数据量,可解释性是医疗AI的核心需求。注意力机制可标记模型关注的文本/图像区域（如CT片中病变区域），帮助医生理解诊断依据。
医疗大模型在药物研发中，以下哪项任务不可行？,D,预测药物分子与靶点蛋白结合能力,生成潜在药物分子结构,模拟药物在人体内的代谢路径,完全替代三期临床试验,大模型可加速药物发现（A/B/C），但三期临床试验涉及复杂人体安全性和有效性验证，需严格监管和实际试验，无法被替代。
以下哪种技术能有效缓解医疗大模型的“幻觉”（生成虚假医学结论）问题？,B,增加模型参数量,基于循证医学知识库进行结果校准,使用更低学习率训练,减少训练数据多样性,大模型的“幻觉”指生成不符合医学事实的内容，需通过知识库（如临床指南、医学文献）约束输出。
在医疗大模型中，下列哪种模型架构最常用于处理医学文本序列？,B,RNN,Transformer,CNN,GAN,Transformer架构在长序列处理和上下文理解上具有优势，更适合医疗文本分析。
医院信息系统(HIS)的核心功能不包括以下哪项？,D,患者挂号管理,电子病历存储,药品库存管理,医学影像诊断,HIS主要处理医院管理流程，医学影像诊断属于PACS系统范畴。
下列哪项是医疗AI辅助诊断系统面临的最大伦理挑战？,C,计算资源不足,算法准确率不高,诊断责任归属问题,用户界面不友好,当AI系统给出错误诊断时，责任在医生、开发者还是系统本身存在伦理争议。
FHIR标准主要用于解决什么问题？,B,医学影像传输,医疗数据互操作性,医院财务管理,医疗设备通信,FHIR(Fast Healthcare Interoperability Resources)是新一代医疗数据交换标准。
在深度学习医疗影像分析中，迁移学习的主要作用是：,A,利用预训练模型提升小样本学习效果,减少GPU显存消耗,提高图像分辨率,降低数据标注要求,医疗影像数据有限，迁移学习可有效利用ImageNet等预训练模型。
下列哪种技术最适合实时监测ICU患者病情恶化？,C,区块链,虚拟现实,时序数据分析,自然语言处理,ICU设备产生大量时序数据，需实时分析生命体征变化趋势。
根据HIPAA法规，医疗数据去标识化需要去除：,D,诊断代码,治疗时间,药物剂量,患者姓名和社保号,HIPAA规定必须移除18项个人标识符，包括姓名、社保号等直接标识。
医疗知识图谱的核心组成部分是：,A,实体关系三元组,卷积神经网络,时间序列数据库,图像特征向量,知识图谱以(头实体，关系，尾实体)三元组形式存储医疗知识。
在AI辅助药物研发中，生成对抗网络(GAN)主要用于：,B,预测药物毒性,生成新分子结构,分析临床试验数据,优化给药方案,GAN可生成具有特定化学属性的新分子结构，加速药物发现。
医院PACS系统主要处理的数据类型是：,C,患者基本信息,财务结算数据,医学影像数据,药品库存信息,PACS(Picture Archiving and Communication System)专用于医学影像存储传输。
DICOM标准主要应用于以下哪个医疗领域？,C,电子病历交换,医院财务管理,医学影像传输,药品编码系统,DICOM(Digital Imaging and Communications in Medicine)是医学影像存储与传输的国际标准。
联邦学习在医疗AI中的核心优势体现在：,B,提高单机运算速度,实现多机构数据协作不共享原始数据,降低模型参数量,增强图像识别精度,联邦学习通过分布式训练保护数据隐私，符合医疗数据保密要求。
医疗机器人"达芬奇系统"属于哪种类型？,A,手术辅助机器人,康复训练机器人,药物配送机器人,消毒清洁机器人,达芬奇手术系统通过微创技术完成复杂外科手术，是典型的手术机器人。
在构建患者风险预测模型时，最需要关注的数据类型是：,D,医院建筑平面图,医务人员排班表,药品包装信息,电子健康记录(EHR),EHR包含患者病史、检验结果等关键信息，是风险预测的核心数据源。
医疗AI模型训练中，数据标注的主要难点在于：,C,存储空间不足,计算速度较慢,需要专业医学知识,数据格式统一困难,医学影像/文本标注需临床医生参与，涉及复杂医学专业知识。
下列哪项是AI医疗产品上市前必须通过的伦理审查重点？,A,数据隐私保护和模型公平性,硬件设备颜色设计,软件界面动画效果,算法代码行数统计,伦理审查重点关注患者隐私、算法偏见等核心伦理问题。
AI在慢性病管理中发挥最大作用的场景是：,B,手术器械消毒,多模态健康数据整合分析,医院电梯调度,医疗耗材采购,整合电子病历、穿戴设备等多源数据，可实现个性化慢性病管理。
HL7标准与FHIR标准的主要区别在于：,D,使用的编程语言不同,图像压缩算法差异,硬件兼容性要求,数据交换格式现代化程度,FHIR采用RESTful API和JSON等现代技术，相比HL7的旧标准更适应现代医疗系统。
放射科信息系统(RIS)的核心功能是：,C,管理CT/MRI设备,存储患者血型信息,跟踪检查申请与报告流程,处理医保报销,RIS专门管理放射科工作流程，包括检查预约、报告分发等环节。
生成式AI在医疗中最可能应用于：,A,自动化医患沟通文书,调节病房温湿度,控制手术室照明,生成药品包装设计,GPT类模型可辅助生成病历摘要、医患沟通记录等文本内容。